"","2.5Credible Interval","Posterior Mean","97.5Credible Interval","PIP"
"(Intercept)",0.00160452759797797,0.0778268630960686,0.763290974682012,1
"eDNA_captureF",-6.43332024952073,-3.57362745677444,1.17080767022717,1
"MonthAugust",-6.43332024952073,-3.57362745677444,1.17080767022717,1
"MonthJuly",-6.43332024952073,-3.57362745677444,1.17080767022717,1
"MonthJune",-6.43332024952073,-3.57362745677444,1.17080767022717,1
"MonthMay",-6.43332024952073,-3.57362745677444,1.17080767022717,1
"MonthOctober",-6.43332024952073,-3.57362745677444,1.17080767022717,1
"MonthSeptember",-6.43332024952073,-3.57362745677444,1.17080767022717,1
