"Site","occupancy_probability_2.5Credible Interval","occupancy_Posterior Mean","occupancy_97.5Credible Interval","presence_2.5Credible Interval","presence_Posterior Mean","presence_97.5Credible Interval"
1,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0742,1
2,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0545,1
3,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.064,1
4,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0634,1
5,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0976,1
6,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0656,1
7,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0644,1
8,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0702,1
9,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0757,1
10,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0577,1
11,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0629,1
12,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0582,1
13,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.064,1
14,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0611,1
15,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0724,1
16,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0535,1
17,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0618,1
18,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0646,1
19,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0681,1
20,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.065,1
21,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0655,1
22,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0687,1
23,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0834,1
24,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0616,1
25,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0616,1
26,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0568,1
27,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0618,1
28,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0606,1
29,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0711,1
30,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0532,1
31,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0666,1
32,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.066,1
33,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0692,1
34,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0658,1
35,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0642,1
36,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0703,1
37,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.072,1
38,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0605,1
39,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0601,1
40,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0615,1
41,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0616,1
42,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0589,1
43,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0803,1
44,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0542,1
45,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0668,1
46,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0657,1
47,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.1022,1
48,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0643,1
49,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0635,1
50,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0836,1
51,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0712,1
52,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0589,1
53,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0604,1
54,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0586,1
55,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0727,1
56,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0562,1
57,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.1094,1
58,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0871,1
59,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0648,1
60,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0634,1
61,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0634,1
62,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0845,1
63,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0732,1
64,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.118,1
65,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0616,1
66,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0666,1
67,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0649,1
68,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0638,1
69,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.1199,1
70,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0709,1
71,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0871,1
72,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0551,1
73,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0605,1
74,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0581,1
75,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0644,1
76,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0591,1
77,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0729,1
78,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0551,1
79,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0606,1
80,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0905,1
81,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0976,1
82,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0979,1
83,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0637,1
84,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0881,1
85,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0831,1
86,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.1223,1
87,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0598,1
88,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0561,1
89,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0641,1
90,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0611,1
91,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0721,1
92,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0582,1
93,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.1093,1
