"","2.5Credible Interval","Posterior Mean","97.5Credible Interval","PIP"
"(Intercept)",0.918375326377205,0.936089968072216,0.95240411637235,1
"eDNA_captureF",2.42047457027189,2.69341996901588,2.99624315769319,1
"MonthAugust",2.42047457027189,2.69341996901588,2.99624315769319,1
"MonthJuly",2.42047457027189,2.69341996901588,2.99624315769319,1
"MonthJune",2.42047457027189,2.69341996901588,2.99624315769319,1
"MonthMay",2.42047457027189,2.69341996901588,2.99624315769319,1
"MonthOctober",2.42047457027189,2.69341996901588,2.99624315769319,1
"MonthSeptember",2.42047457027189,2.69341996901588,2.99624315769319,1
