"","2.5Credible Interval","Posterior Mean","97.5Credible Interval","PIP"
"(Intercept)",0.0828882344549983,0.0996783590261744,0.11809022842068,1
"eDNA_captureF",-2.40373621905702,-2.20482730365111,-2.01064077109596,1
"MonthAugust",-2.40373621905702,-2.20482730365111,-2.01064077109596,1
"MonthJuly",-2.40373621905702,-2.20482730365111,-2.01064077109596,1
"MonthJune",-2.40373621905702,-2.20482730365111,-2.01064077109596,1
"MonthMay",-2.40373621905702,-2.20482730365111,-2.01064077109596,1
"MonthOctober",-2.40373621905702,-2.20482730365111,-2.01064077109596,1
"MonthSeptember",-2.40373621905702,-2.20482730365111,-2.01064077109596,1
