"Site","2.5Credible Interval","Posterior Mean","97.5Credible Interval"
1,0.28387650745791,0.641970932922219,0.834161094126953
2,0.0790043852725759,0.310007789891603,0.51034443994822
3,0.276616527457423,0.767270148442617,0.929851898806136
4,0.0735846684901166,0.46506184840855,0.703857890067341
5,0.210089537263687,0.705497663752896,0.903056490966379
6,0.075605011663179,0.384706153756485,0.633532582267942
7,0.181282221640592,0.781378248986664,0.949173697423042
8,0.0633137758318895,0.491905084642912,0.754676664351818
9,0.134840168989584,0.596071288165086,0.841796462611658
10,0.0337809492959111,0.279564658974725,0.527335418907633
11,0.0128460821514075,0.13644471378911,0.345162692045218
12,0.00275775024532882,0.0418140913435856,0.128704218368472
13,0.00442587740551989,0.0739473485113083,0.241698953566578
14,0.00109945716726772,0.021770674261021,0.0776601085128037
15,0.28387650745791,0.641970932922219,0.834161094126953
16,0.0790043852725759,0.310007789891603,0.51034443994822
17,0.276616527457423,0.767270148442617,0.929851898806136
18,0.0735846684901166,0.46506184840855,0.703857890067341
19,0.210089537263687,0.705497663752896,0.903056490966379
20,0.075605011663179,0.384706153756485,0.633532582267942
21,0.181282221640592,0.781378248986664,0.949173697423042
22,0.0633137758318895,0.491905084642912,0.754676664351818
23,0.134840168989584,0.596071288165086,0.841796462611658
24,0.0337809492959111,0.279564658974725,0.527335418907633
25,0.0128460821514075,0.13644471378911,0.345162692045218
26,0.00275775024532882,0.0418140913435856,0.128704218368472
27,0.00442587740551989,0.0739473485113083,0.241698953566578
28,0.00109945716726772,0.021770674261021,0.0776601085128037
29,0.28387650745791,0.641970932922219,0.834161094126953
30,0.0790043852725759,0.310007789891603,0.51034443994822
31,0.276616527457423,0.767270148442617,0.929851898806136
32,0.0735846684901166,0.46506184840855,0.703857890067341
33,0.210089537263687,0.705497663752896,0.903056490966379
34,0.075605011663179,0.384706153756485,0.633532582267942
35,0.181282221640592,0.781378248986664,0.949173697423042
36,0.0633137758318895,0.491905084642912,0.754676664351818
37,0.134840168989584,0.596071288165086,0.841796462611658
38,0.0337809492959111,0.279564658974725,0.527335418907633
39,0.0128460821514075,0.13644471378911,0.345162692045218
40,0.00275775024532882,0.0418140913435856,0.128704218368472
41,0.00442587740551989,0.0739473485113083,0.241698953566578
42,0.00109945716726772,0.021770674261021,0.0776601085128037
43,0.28387650745791,0.641970932922219,0.834161094126953
44,0.0790043852725759,0.310007789891603,0.51034443994822
45,0.276616527457423,0.767270148442617,0.929851898806136
46,0.0735846684901166,0.46506184840855,0.703857890067341
47,0.210089537263687,0.705497663752896,0.903056490966379
48,0.075605011663179,0.384706153756485,0.633532582267942
49,0.181282221640592,0.781378248986664,0.949173697423042
50,0.0633137758318895,0.491905084642912,0.754676664351818
51,0.134840168989584,0.596071288165086,0.841796462611658
52,0.0337809492959111,0.279564658974725,0.527335418907633
53,0.0128460821514075,0.13644471378911,0.345162692045218
54,0.00275775024532882,0.0418140913435856,0.128704218368472
55,0.28387650745791,0.641970932922219,0.834161094126953
56,0.0790043852725759,0.310007789891603,0.51034443994822
57,0.276616527457423,0.767270148442617,0.929851898806136
58,0.0735846684901166,0.46506184840855,0.703857890067341
59,0.210089537263687,0.705497663752896,0.903056490966379
60,0.075605011663179,0.384706153756485,0.633532582267942
61,0.181282221640592,0.781378248986664,0.949173697423042
62,0.0633137758318895,0.491905084642912,0.754676664351818
63,0.28387650745791,0.641970932922219,0.834161094126953
