"(Intercept)","eDNA_captureF","MonthAugust","MonthJuly","MonthJune","MonthMay","MonthOctober","MonthSeptember"
0.105766527021311,-2.13473280693071,-2.13473280693071,-2.13473280693071,-2.13473280693071,-2.13473280693071,-2.13473280693071,-2.13473280693071
0.087178896711761,-2.34857762613146,-2.34857762613146,-2.34857762613146,-2.34857762613146,-2.34857762613146,-2.34857762613146,-2.34857762613146
0.0973433346083508,-2.22709800445663,-2.22709800445663,-2.22709800445663,-2.22709800445663,-2.22709800445663,-2.22709800445663,-2.22709800445663
0.104444204354183,-2.14879152706664,-2.14879152706664,-2.14879152706664,-2.14879152706664,-2.14879152706664,-2.14879152706664,-2.14879152706664
0.0957144181370036,-2.2457762727942,-2.2457762727942,-2.2457762727942,-2.2457762727942,-2.2457762727942,-2.2457762727942,-2.2457762727942
0.109220381369356,-2.09872936680085,-2.09872936680085,-2.09872936680085,-2.09872936680085,-2.09872936680085,-2.09872936680085,-2.09872936680085
0.103566813741524,-2.15820681512056,-2.15820681512056,-2.15820681512056,-2.15820681512056,-2.15820681512056,-2.15820681512056,-2.15820681512056
0.110648851886524,-2.08413045941743,-2.08413045941743,-2.08413045941743,-2.08413045941743,-2.08413045941743,-2.08413045941743,-2.08413045941743
0.10993936704063,-2.09136058222679,-2.09136058222679,-2.09136058222679,-2.09136058222679,-2.09136058222679,-2.09136058222679,-2.09136058222679
0.114949370437811,-2.04115307755728,-2.04115307755728,-2.04115307755728,-2.04115307755728,-2.04115307755728,-2.04115307755728,-2.04115307755728
0.0946728809288163,-2.2578687449742,-2.2578687449742,-2.2578687449742,-2.2578687449742,-2.2578687449742,-2.2578687449742,-2.2578687449742
0.109981881756049,-2.09092617917908,-2.09092617917908,-2.09092617917908,-2.09092617917908,-2.09092617917908,-2.09092617917908,-2.09092617917908
0.0924754999146201,-2.2837768194665,-2.2837768194665,-2.2837768194665,-2.2837768194665,-2.2837768194665,-2.2837768194665,-2.2837768194665
0.106410969533778,-2.12793730329979,-2.12793730329979,-2.12793730329979,-2.12793730329979,-2.12793730329979,-2.12793730329979,-2.12793730329979
0.0926318451821204,-2.28191528865024,-2.28191528865024,-2.28191528865024,-2.28191528865024,-2.28191528865024,-2.28191528865024,-2.28191528865024
0.0965667842267226,-2.23596735655551,-2.23596735655551,-2.23596735655551,-2.23596735655551,-2.23596735655551,-2.23596735655551,-2.23596735655551
