"","2.5Credible Interval","Posterior Mean","97.5Credible Interval","PIP"
"(Intercept)",0.0579979865118554,0.71064835871527,0.998630776575488,1
"eDNA_captureF",-4.70732400239355,-0.085360048192026,4.43509147012327,1
"MonthAugust",-4.8987071781123,-0.15340195000904,4.56869295412172,1
"MonthJuly",-4.8951657149937,-0.114628472844718,4.51344203766241,1
"MonthJune",-4.67083551315303,-0.142519944456403,4.43873494831334,1
"MonthMay",-4.8021533851398,-0.121956365818016,4.53917293476186,1
"MonthOctober",-5.29074032249797,-0.631120298065284,4.39689842446212,1
"MonthSeptember",-4.91048005624935,-0.341506685514002,4.51895758280711,1
